Genus,Class,Order,Family
Candidatus Ishikawella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Izemoplasma,Candidatus Izimaplasma,Candidatus Izemoplasmatales,Candidatus Izemoplasmataceae
Candidatus Karelsulcia,Flavobacteriia,Flavobacteriales,Unknown
Candidatus Kinetoplastidibacterium,Betaproteobacteria,Unknown,Unknown
Candidatus Kirkpatrickella,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Candidatus Korarchaeum,Candidatus Korarchaeia,Candidatus Korarchaeales,Candidatus Korarchaeaceae
Candidatus Korobacter,Terriglobia,Terriglobales,Candidatus Korobacteraceae
Candidatus Kuenenia,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Brocadiaceae
Candidatus Lariskella,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae
Candidatus Lucifugimonas,Dehalococcoidia,Candidatus Lucifugimonadales,Candidatus Lucifugimonadaceae
Candidatus Mancarchaeum,Unknown,Unknown,Unknown
Candidatus Megaera,Alphaproteobacteria,Rickettsiales,Rickettsiaceae
Candidatus Mesenet,Alphaproteobacteria,Rickettsiales,Anaplasmataceae
Candidatus Methanoliparum,Candidatus Methanoliparia,Candidatus Methanoliparales,Candidatus Methanoliparaceae
Candidatus Methanoplasma,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae
Candidatus Methylocalor,Gammaproteobacteria,Methylococcales,Methylococcaceae
Candidatus Methylopumilus,Betaproteobacteria,Nitrosomonadales,Methylophilaceae
Candidatus Methylospira,Gammaproteobacteria,Methylococcales,Methylococcaceae
Candidatus Micrarchaeum,Candidatus Micrarchaeia,Candidatus Micrarchaeales,Candidatus Micrarchaeaceae
Candidatus Midichloria,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae
Candidatus Mikella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Minimicrobia,Unknown,Unknown,Unknown
Candidatus Moranella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Mycosynbacter,Unknown,Unknown,Unknown
Candidatus Nanohalobium,Candidatus Nanohalobia,Candidatus Nanohalobiales,Candidatus Nanohalobiaceae
Candidatus Nanohalococcus,Unknown,Unknown,Unknown
Candidatus Nanohalovita,Unknown,Unknown,Unknown
Candidatus Nanopelagicus,Actinomycetes,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae
Candidatus Nanosalina,Candidatus Nanohaloarchaea,Unknown,Unknown
Candidatus Nanosynbacter,Candidatus Saccharimonadia,Candidatus Nanosynbacterales,Candidatus Nanosynbacteraceae
Candidatus Nardonella,Gammaproteobacteria,Unknown,Unknown
Candidatus Neoehrlichia,Alphaproteobacteria,Rickettsiales,Anaplasmataceae
Candidatus Neptunochlamydia,Chlamydiia,Parachlamydiales,Simkaniaceae
Candidatus Nesciobacter,Alphaproteobacteria,Holosporales,Holosporaceae
Candidatus Nitrosacidococcus,Gammaproteobacteria,Chromatiales,Chromatiaceae
Candidatus Nitrosocaldus,Nitrososphaeria,Candidatus Nitrosocaldales,Candidatus Nitrosocaldaceae
Candidatus Nitrosocosmicus,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae
Candidatus Nitrosoglobus,Gammaproteobacteria,Chromatiales,Chromatiaceae
Candidatus Nitrosomarinus,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae
Candidatus Nitrosopelagicus,Unknown,Unknown,Unknown
Candidatus Nitrosotenuis,Unknown,Unknown,Unknown
Candidatus Nitrotoga,Betaproteobacteria,Nitrosomonadales,Gallionellaceae
Candidatus Nucleicultrix,Alphaproteobacteria,Holosporales,Candidatus Nucleicultricaceae
Candidatus Odyssella,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae
Candidatus Palibaumannia,Gammaproteobacteria,Unknown,Unknown
Candidatus Pelagibacter,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae
Candidatus Pelagisphaera,Opitutia,Puniceicoccales,Unknown
Candidatus Phycorickettsia,Alphaproteobacteria,Rickettsiales,Rickettsiaceae
Candidatus Phytoplasma,Mollicutes,Acholeplasmatales,Acholeplasmataceae
Candidatus Planktophila,Actinomycetes,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae
Candidatus Portiera,Gammaproteobacteria,Candidatus Johnevansiales,Candidatus Johnevansiaceae
Candidatus Pristimantibacillus,Bacilli,Bacillales,Paenibacillaceae
Candidatus Profftella,Betaproteobacteria,Unknown,Unknown
Candidatus Profftia,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Promineifilum,Ardenticatenia,Candidatus Promineifilales,Candidatus Promineifilaceae
Candidatus Protochlamydia,Chlamydiia,Parachlamydiales,Parachlamydiaceae
Candidatus Pseudothioglobus,Gammaproteobacteria,Unknown,Candidatus Pseudothioglobaceae
Candidatus Puniceispirillum,Alphaproteobacteria,Candidatus Puniceispirillales,Candidatus Puniceispirillaceae
Candidatus Purcelliella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Regiella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Reidiella,Gammaproteobacteria,Unknown,Unknown
Candidatus Rhabdochlamydia,Chlamydiia,Parachlamydiales,Candidatus Rhabdochlamydiaceae
Candidatus Riesia,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Ruthturnera,Gammaproteobacteria,Unknown,Candidatus Pseudothioglobaceae
Candidatus Saccharimonas,Candidatus Saccharimonadia,Candidatus Saccharimonadales,Candidatus Saccharimonadaceae
Candidatus Schneideria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Shikimatogenerans,Flavobacteriia,Flavobacteriales,Unknown
Candidatus Southlakia,Candidatus Saccharimonadia,Candidatus Saccharimonadales,Candidatus Saccharimonadaceae
Candidatus Steffania,Gammaproteobacteria,Unknown,Unknown
Candidatus Sulfidibacterium,Unknown,Candidatus Sulfidibacteriales,Unknown
Candidatus Symbiobacter,Betaproteobacteria,Burkholderiales,Comamonadaceae
Candidatus Syntrophocurvum,Clostridia,Eubacteriales,Syntrophomonadaceae
Candidatus Tachikawaea,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Thiodiazotropha,Gammaproteobacteria,Chromatiales,Sedimenticolaceae
Candidatus Thiodubiliella,Gammaproteobacteria,Unknown,Candidatus Pseudothioglobaceae
Candidatus Thioglobus,Gammaproteobacteria,Unknown,Candidatus Pseudothioglobaceae
Candidatus Tisiphia,Alphaproteobacteria,Rickettsiales,Rickettsiaceae
Candidatus Trichorickettsia,Alphaproteobacteria,Rickettsiales,Rickettsiaceae
Candidatus Uabimicrobium,Candidatus Uabimicrobiia,Candidatus Uabimicrobiales,Candidatus Uabimicrobiaceae
Candidatus Vallotia,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Candidatus Velamenicoccus,Unknown,Unknown,Unknown
Candidatus Vesicomyosocius,Gammaproteobacteria,Unknown,Candidatus Pseudothioglobaceae
Candidatus Viadribacter,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae
Candidatus Vondammii,Gammaproteobacteria,Unknown,Unknown
Candidatus Walczuchella,Flavobacteriia,Flavobacteriales,Unknown
Candidatus Westeberhardia,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Williamhamiltonella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Xianfuyuplasma,Candidatus Izimaplasma,Candidatus Izemoplasmatales,Candidatus Izemoplasmataceae
Candidatus Xiphinematobacter,Spartobacteria,Unknown,Unknown
Candidatus Zinderia,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
Candidiatus Paracoxiella,Gammaproteobacteria,Legionellales,Coxiellaceae
Capillimicrobium,Thermoleophilia,Solirubrobacterales,Capillimicrobiaceae
Capilliphycus,Cyanophyceae,Oscillatoriales,Sirenicapillariaceae
Capnocytophaga,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Caproicibacter,Clostridia,Eubacteriales,Acutalibacteraceae
Caproicibacterium,Clostridia,Eubacteriales,Oscillospiraceae
Caproiciproducens,Clostridia,Eubacteriales,Acutalibacteraceae
Capsulimonas,Armatimonadia,Capsulimonadales,Capsulimonadaceae
Carboxydichorda,Limnochordia,Limnochordales,Geochordaceae
Carboxydocella,Clostridia,Eubacteriales,Clostridiales Family XVI. Incertae Sedis
Carboxydothermus,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae
Cardiobacterium,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae
Carnobacterium,Bacilli,Lactobacillales,Carnobacteriaceae
Casimicrobium,Betaproteobacteria,Unknown,Casimicrobiaceae
Castellaniella,Betaproteobacteria,Burkholderiales,Alcaligenaceae
Catalinimonas,Cytophagia,Cytophagales,Catalimonadaceae
Catellatospora,Actinomycetes,Micromonosporales,Micromonosporaceae
Catenibacterium,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae
Catenovulum,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Catenulispora,Actinomycetes,Catenulisporales,Catenulisporaceae
Caulobacter,Alphaproteobacteria,Caulobacterales,Caulobacteraceae
Cedecea,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Celeribacter,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Celerinatantimonas,Gammaproteobacteria,Unknown,Celerinatantimonadaceae
Cellulomonas,Actinomycetes,Micrococcales,Cellulomonadaceae
Cellulophaga,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Cellulosilyticum,Clostridia,Lachnospirales,Cellulosilyticaceae
Cellulosimicrobium,Actinomycetes,Micrococcales,Promicromonosporaceae
Cellvibrio,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
Cereibacter,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Cetobacterium,Fusobacteriia,Fusobacteriales,Fusobacteriaceae
Chakrabartyella,Clostridia,Lachnospirales,Lachnospiraceae
Changchengzhania,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Changpingibacter,Actinomycetes,Actinomycetales,Actinomycetaceae
Chania,Gammaproteobacteria,Enterobacterales,Yersiniaceae
Chelativorans,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae
Chelatococcus,Alphaproteobacteria,Hyphomicrobiales,Chelatococcaceae
Chenggangzhangella,Alphaproteobacteria,Hyphomicrobiales,Methylopilaceae
Chimaeribacter,Gammaproteobacteria,Enterobacterales,Yersiniaceae
Chitinibacter,Betaproteobacteria,Neisseriales,Chitinibacteraceae
Chitinimonas,Betaproteobacteria,Neisseriales,Chitinibacteraceae
Chitiniphilus,Betaproteobacteria,Neisseriales,Chitinibacteraceae
Chitinolyticbacter,Betaproteobacteria,Neisseriales,Chitinibacteraceae
Chitinophaga,Chitinophagia,Chitinophagales,Chitinophagaceae
Chlamydia,Chlamydiia,Chlamydiales,Chlamydiaceae
Chlamydiifrater,Chlamydiia,Chlamydiales,Chlamydiaceae
Chloracidobacterium,Terriglobia,Terriglobales,Acidobacteriaceae
Chlorobaculum,Chlorobiia,Chlorobiales,Chlorobiaceae
Chlorobium,Chlorobiia,Chlorobiales,Chlorobiaceae
Chloroflexus,Chloroflexia,Chloroflexales,Chloroflexaceae
Chlorogloeopsis,Cyanophyceae,Nostocales,Chlorogloeopsidaceae
Chloroherpeton,Chlorobiia,Chlorobiales,Chloroherpetonaceae
Chondrinema,Cytophagia,Cytophagales,Flammeovirgaceae
Chondromyces,Unknown,Polyangiales,Polyangiaceae
Chordicoccus,Clostridia,Lachnospirales,Lachnospiraceae
Christensenella,Clostridia,Christensenellales,Christensenellaceae
Christiangramia,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Chromobacterium,Betaproteobacteria,Neisseriales,Chromobacteriaceae
Chromohalobacter,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
Chroococcidiopsis,Cyanophyceae,Chroococcidiopsidales,Chroococcidiopsidaceae
Chryseobacterium,Flavobacteriia,Flavobacteriales,Weeksellaceae
Chryseolinea,Cytophagia,Cytophagales,Fulvivirgaceae
Chryseomicrobium,Bacilli,Bacillales,Caryophanaceae
Ciceribacter,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Citricoccus,Actinomycetes,Micrococcales,Micrococcaceae
Citrifermentans,Desulfuromonadia,Geobacterales,Geobacteraceae
Citrobacter,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Citromicrobium,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
Claveliimonas,Clostridia,Lachnospirales,Lachnospiraceae
Clavibacter,Actinomycetes,Micrococcales,Microbacteriaceae
Cloacibacillus,Synergistia,Synergistales,Synergistaceae
Cloacibacterium,Flavobacteriia,Flavobacteriales,Weeksellaceae
Clostridioides,Clostridia,Peptostreptococcales,Peptostreptococcaceae
Clostridium,Clostridia,Eubacteriales,Clostridiaceae
Cnuibacter,Actinomycetes,Micrococcales,Microbacteriaceae
Cobetia,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
Cognaticolwellia,Gammaproteobacteria,Alteromonadales,Colwelliaceae
Cognatishimia,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Cohnella,Bacilli,Bacillales,Paenibacillaceae
Collimonas,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
Collinsella,Coriobacteriia,Coriobacteriales,Coriobacteriaceae
Colwellia,Gammaproteobacteria,Alteromonadales,Colwelliaceae
Comamonas,Betaproteobacteria,Burkholderiales,Comamonadaceae
Commensalibacter,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Companilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Conchiformibius,Betaproteobacteria,Neisseriales,Neisseriaceae
Conexibacter,Thermoleophilia,Solirubrobacterales,Conexibacteraceae
Conexivisphaera,Conexivisphaeria,Conexivisphaerales,Conexivisphaeraceae
Congregibacter,Gammaproteobacteria,Cellvibrionales,Halieaceae
Constantimarinum,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Coprobacter,Bacteroidia,Bacteroidales,Barnesiellaceae
Coprococcus,Clostridia,Lachnospirales,Lachnospiraceae
Coprothermobacter,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae
Coraliomargarita,Opitutia,Puniceicoccales,Coraliomargaritaceae
Coralliovum,Alphaproteobacteria,Hyphomicrobiales,Coralliovaceae
Corallococcus,Myxococcia,Myxococcales,Myxococcaceae
Coriobacterium,Coriobacteriia,Coriobacteriales,Coriobacteriaceae
Corynebacterium,Actinomycetes,Mycobacteriales,Corynebacteriaceae
Costertonia,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Couchioplanes,Actinomycetes,Micromonosporales,Micromonosporaceae
Coxiella,Gammaproteobacteria,Legionellales,Coxiellaceae
Crassaminicella,Clostridia,Eubacteriales,Clostridiaceae
Crateriforma,Planctomycetia,Planctomycetales,Planctomycetaceae
Crinalium,Cyanophyceae,Gomontiellales,Gomontiellaceae
Croceibacter,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Croceibacterium,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
Croceicoccus,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
Croceimicrobium,Flavobacteriia,Flavobacteriales,Owenweeksiaceae
Crocosphaera,Cyanophyceae,Chroococcales,Aphanothecaceae
Cronobacter,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Crossiella,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Cruoricaptor,Flavobacteriia,Flavobacteriales,Weeksellaceae
Cryobacterium,Actinomycetes,Micrococcales,Microbacteriaceae
Cryptobacterium,Coriobacteriia,Eggerthellales,Eggerthellaceae
Cuniculiplasma,Thermoplasmata,Thermoplasmatales,Cuniculiplasmataceae
Cupriavidus,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Curtobacterium,Actinomycetes,Micrococcales,Microbacteriaceae
Cutibacterium,Actinomycetes,Propionibacteriales,Propionibacteriaceae
Cyanobacterium,Cyanophyceae,Chroococcales,Geminocystaceae
Cyanobium,Cyanophyceae,Synechococcales,Prochlorococcaceae
Cyclobacterium,Cytophagia,Cytophagales,Cyclobacteriaceae
Cycloclasticus,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae
Cyclonatronum,Balneolia,Balneolales,Cyclonatronaceae
Cylindrospermopsis,Cyanophyceae,Nostocales,Aphanizomenonaceae
Cysteiniphilum,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae
Cystobacter,Myxococcia,Myxococcales,Archangiaceae
Cytobacillus,Bacilli,Bacillales,Bacillaceae
Cytophaga,Cytophagia,Cytophagales,Cytophagaceae
Dactylococcopsis,Cyanophyceae,Nodosilineales,Cymatolegaceae
Dactylosporangium,Actinomycetes,Micromonosporales,Micromonosporaceae
Dechloromonas,Betaproteobacteria,Rhodocyclales,Azonexaceae
Deefgea,Betaproteobacteria,Neisseriales,Chitinibacteraceae
Deferribacter,Deferribacteres,Deferribacterales,Deferribacteraceae
Defluviicoccus,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
Defluviimonas,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Defluviitalea,Clostridia,Lachnospirales,Defluviitaleaceae
Defluviitoga,Thermotogae,Petrotogales,Petrotogaceae
Dehalobacter,Clostridia,Eubacteriales,Desulfitobacteriaceae
Dehalobacterium,Clostridia,Eubacteriales,Peptococcaceae
Dehalococcoides,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae
Dehalogenimonas,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae
Deinococcus,Deinococci,Deinococcales,Deinococcaceae
Delftia,Betaproteobacteria,Burkholderiales,Comamonadaceae
Dellaglioa,Bacilli,Lactobacillales,Lactobacillaceae
Demequina,Actinomycetes,Micrococcales,Demequinaceae
Denitratisoma,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae
Denitrificimonas,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
Denitrobacterium,Coriobacteriia,Eggerthellales,Eggerthellaceae
Denitrovibrio,Deferribacteres,Deferribacterales,Geovibrionaceae
Dermabacter,Actinomycetes,Micrococcales,Dermabacteraceae
Dermacoccus,Actinomycetes,Micrococcales,Dermacoccaceae
Dermatobacter,Acidimicrobiia,Acidimicrobiales,Iamiaceae
Dermatophilus,Actinomycetes,Micrococcales,Dermatophilaceae
Desemzia,Bacilli,Lactobacillales,Carnobacteriaceae
Desulfarculus,Desulfarculia,Desulfarculales,Desulfarculaceae
Desulfatibacillum,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae
Desulfitobacterium,Clostridia,Eubacteriales,Desulfitobacteriaceae
Desulfobacca,Desulfobaccia,Desulfobaccales,Desulfobaccaceae
Desulfobacula,Desulfobacteria,Desulfobacterales,Desulfobacteraceae
Desulfobaculum,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae
Desulfobulbus,Desulfobulbia,Desulfobulbales,Desulfobulbaceae
Desulfocapsa,Desulfobulbia,Desulfobulbales,Desulfocapsaceae
Desulfococcus,Desulfobacteria,Desulfobacterales,Desulfococcaceae
Desulfocurvibacter,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae
Desulfofarcimen,Clostridia,Eubacteriales,Peptococcaceae
Desulfoferula,Desulfarculia,Desulfarculales,Desulfarculaceae
Desulfofundulus,Clostridia,Eubacteriales,Peptococcaceae
Desulfofustis,Desulfobulbia,Desulfobulbales,Desulfocapsaceae
Desulfoglaeba,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae
Desulfohalobium,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae
Desulfolithobacter,Desulfobulbia,Desulfobulbales,Desulfobulbaceae
Desulfoluna,Desulfobacteria,Desulfobacterales,Desulfolunaceae
Desulfolutivibrio,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae
Desulfomarina,Desulfobulbia,Desulfobulbales,Desulfobulbaceae
Desulfomicrobium,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae
Desulfomonile,Desulfomonilia,Desulfomonilales,Desulfomonilaceae
Desulfonema,Desulfobacteria,Desulfobacterales,Desulfococcaceae
Desulfopila,Desulfobulbia,Desulfobulbales,Desulfocapsaceae
Desulforamulus,Clostridia,Eubacteriales,Peptococcaceae
Desulforapulum,Desulfobacteria,Desulfobacterales,Desulfobacteraceae
Desulfosarcina,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae
Desulfoscipio,Clostridia,Eubacteriales,Desulfallaceae
Desulfosediminicola,Desulfobulbia,Desulfobulbales,Desulfocapsaceae
Desulfosporosinus,Clostridia,Eubacteriales,Desulfitobacteriaceae
Desulfosudis,Desulfobacteria,Desulfobacterales,Desulfosudaceae
Desulfotalea,Desulfobulbia,Desulfobulbales,Desulfocapsaceae
Desulfotomaculum,Clostridia,Eubacteriales,Desulfotomaculaceae
Desulfovibrio,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae
Desulfurispirillum,Chrysiogenia,Chrysiogenales,Chrysiogenaceae
Desulfurivibrio,Desulfobulbia,Desulfobulbales,Desulfobulbaceae
Desulfurobacterium,Aquificia,Desulfurobacteriales,Desulfurobacteriaceae
Desulfurococcus,Thermoprotei,Desulfurococcales,Desulfurococcaceae
Desulfuromonas,Desulfuromonadia,Desulfuromonadales,Desulfuromonadaceae
Devosia,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae
Devriesea,Actinomycetes,Micrococcales,Dermabacteraceae
Dialister,Negativicutes,Veillonellales,Veillonellaceae
Diaminobutyricibacter,Actinomycetes,Micrococcales,Microbacteriaceae
Diaminobutyricimonas,Actinomycetes,Micrococcales,Microbacteriaceae
Diaphorobacter,Betaproteobacteria,Burkholderiales,Comamonadaceae
Dichelobacter,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae
Dickeya,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae
Dictyoglomus,Dictyoglomia,Dictyoglomales,Dictyoglomaceae
Dietzia,Actinomycetes,Mycobacteriales,Dietziaceae
Dinoroseobacter,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Dissulfurimicrobium,Deltaproteobacteria,Unknown,Unknown
Dissulfurispira,Thermodesulfovibrionia,Thermodesulfovibrionales,Dissulfurispiraceae
Dokdonella,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae
Dokdonia,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Dolichospermum,Cyanophyceae,Nostocales,Aphanizomenonaceae
Dolosigranulum,Bacilli,Lactobacillales,Carnobacteriaceae
Domibacillus,Bacilli,Bacillales,Bacillaceae
Dongshaea,Gammaproteobacteria,Aeromonadales,Aeromonadaceae
Dorea,Clostridia,Lachnospirales,Lachnospiraceae
Draconibacterium,Bacteroidia,Marinilabiliales,Prolixibacteraceae
Duffyella,Gammaproteobacteria,Enterobacterales,Erwiniaceae
Duganella,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
Duncaniella,Bacteroidia,Bacteroidales,Muribaculaceae
Dyadobacter,Cytophagia,Cytophagales,Spirosomataceae
Dyella,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae
Dysgonomonas,Bacteroidia,Bacteroidales,Dysgonomonadaceae
Dysosmobacter,Clostridia,Eubacteriales,Oscillospiraceae
Echinicola,Cytophagia,Cytophagales,Cyclobacteriaceae
Ectobacillus,Bacilli,Bacillales,Bacillaceae
Ectopseudomonas,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
Ectothiorhodospira,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
Edaphobacter,Terriglobia,Terriglobales,Acidobacteriaceae
Edwardsiella,Gammaproteobacteria,Enterobacterales,Hafniaceae
Effusibacillus,Bacilli,Bacillales,Alicyclobacillaceae
Egbenema,Cyanophyceae,Oculatellales,Oculatellaceae
Eggerthella,Coriobacteriia,Eggerthellales,Eggerthellaceae
Egibacter,Nitriliruptoria,Egibacterales,Egibacteraceae
Egicoccus,Nitriliruptoria,Egicoccales,Egicoccaceae
Ehrlichia,Alphaproteobacteria,Rickettsiales,Anaplasmataceae
Eikenella,Betaproteobacteria,Neisseriales,Neisseriaceae
Eisenbergiella,Clostridia,Lachnospirales,Lachnospiraceae
Eleftheria,Betaproteobacteria,Burkholderiales,Unknown
Elioraea,Alphaproteobacteria,Acetobacterales,Elioraeaceae
Elizabethkingia,Flavobacteriia,Flavobacteriales,Weeksellaceae
Elusimicrobium,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae
Embleya,Actinomycetes,Kitasatosporales,Streptomycetaceae
Emergencia,Clostridia,Peptostreptococcales,Anaerovoracaceae
Empedobacter,Flavobacteriia,Flavobacteriales,Weeksellaceae
Emticicia,Cytophagia,Cytophagales,Leadbetterellaceae
Endomicrobium,Endomicrobiia,Endomicrobiales,Endomicrobiaceae
Endozoicomonas,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae
Engelhardtia,Planctomycetia,Unknown,Unknown
Ensifer,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Enterobacter,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Enterocloster,Clostridia,Lachnospirales,Lachnospiraceae
Enterococcus,Bacilli,Lactobacillales,Enterococcaceae
Enterovibrio,Gammaproteobacteria,Vibrionales,Vibrionaceae
Entomobacter,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Entomomonas,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
Entomoplasma,Mollicutes,Entomoplasmatales,Entomoplasmataceae
Entomospira,Spirochaetia,Spirochaetales,Spirochaetaceae
Ephemeroptericola,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Epidermidibacterium,Actinomycetes,Sporichthyales,Sporichthyaceae
Epilithonimonas,Flavobacteriia,Flavobacteriales,Weeksellaceae
Erwinia,Gammaproteobacteria,Enterobacterales,Erwiniaceae
Erysipelothrix,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Erythrobacter,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
Escherichia,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Eshraghiella,Clostridia,Lachnospirales,Lachnospiraceae
Ethanoligenens,Clostridia,Eubacteriales,Oscillospiraceae
Eubacterium,Clostridia,Eubacteriales,Eubacteriaceae
Euhalothece,Cyanophyceae,Chroococcales,Halothecacae
Euzebya,Nitriliruptoria,Euzebyales,Euzebyaceae
Euzebyella,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Evansella,Bacilli,Bacillales,Bacillaceae
Ewingella,Gammaproteobacteria,Enterobacterales,Yersiniaceae
Exiguobacterium,Bacilli,Bacillales,Unknown
Ezakiella,Tissierellia,Unknown,Unknown
Facklamia,Bacilli,Lactobacillales,Aerococcaceae
Faecalibacillus,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae
Faecalibacter,Flavobacteriia,Flavobacteriales,Weeksellaceae
Faecalibacterium,Clostridia,Eubacteriales,Oscillospiraceae
Faecalibaculum,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Faecalimonas,Clostridia,Lachnospirales,Lachnospiraceae
Falsihalocynthiibacter,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Falsirhodobacter,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Fannyhessea,Coriobacteriia,Coriobacteriales,Atopobiaceae
Fastidiosipila,Clostridia,Eubacteriales,Oscillospiraceae
Faucicola,Gammaproteobacteria,Moraxellales,Moraxellaceae
Fenollaria,Clostridia,Eubacteriales,Unknown
Ferribacterium,Betaproteobacteria,Rhodocyclales,Azonexaceae
Ferrigenium,Betaproteobacteria,Nitrosomonadales,Gallionellaceae
Ferrimonas,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae
