metric,original_percent,mean_percent,standard_deviation_percent,ci_lower_percent,ci_upper_percent,valid_replicates
accuracy,88.1,88.31299999999999,1.0509884717144948,86.4,90.0,100
essential_precision,89.69072164948454,89.79016417151063,3.192245428447174,85.52779022859704,94.39696390150608,100
essential_recall,44.38775510204081,45.10171697147881,3.3357122498217526,39.45687434405114,50.27978389106345,100
essential_f1,59.38566552901023,59.9729097038331,3.2472350927501363,54.545454545454554,64.86238532110092,100
nonessential_precision,87.92912513842747,88.15267174520095,1.1121956824943884,86.16708045096348,89.67178217821781,100
nonessential_recall,98.75621890547264,98.76253876457338,0.39705610724163093,98.2290700043003,99.3773737167215,100
nonessential_f1,93.02870533099004,93.1525234403971,0.6543219657925512,91.93755565846186,94.16062975920971,100
macro_precision,88.809923393956,88.9714179583558,1.6851364679675003,86.50166071289217,91.8378570709169,100
macro_recall,71.57198700375673,71.93212786802609,1.6995777053860583,69.229209303176,74.75590426237513,100
macro_f1,76.20718543000014,76.5627165721151,1.8614047691039892,73.5667602841822,79.41037057494074,100
