record_index,reference_order,prediction_order,resolved,prediction_text
3,2-4-1-3,4-2-1-3,True,Contig 4-Contig 2-Contig 1-Contig 3
7,4-1-2-3,4-1-3-2,True,Contig 4-Contig 1-Contig 3-Contig 2
13,3-4-2-1,4-3-2-1,True,Contig 4-Contig 3-Contig 2-Contig 1
17,1-4-3-2,2-4-3-1,True,Contig 2-Contig 4-Contig 3-Contig 1
22,4-1-3-2,4-3-1-2,True,Contig 4-Contig 3-Contig 1-Contig 2
29,2-3-1-4,2-4-3-1,True,Contig 2-Contig 4-Contig 3-Contig 1
35,2-4-1-3,2-1-4-3,True,Contig 2-Contig 1-Contig 4-Contig 3
37,2-3-1-4,1-2-3-4,True,Contig 1-Contig 2-Contig 3-Contig 4
40,4-2-1-3,3-2-4-1,True,Contig 3-Contig 2-Contig 4-Contig 1
41,1-2-3-4,3-2-4-1,True,Contig 3-Contig 2-Contig 4-Contig 1
45,2-3-1-4,3-1-2-4,True,Contig 3-Contig 1-Contig 2-Contig 4
53,1-4-2-3,1-2-4-3,True,Contig 1-Contig 2-Contig 4-Contig 3
57,3-2-1-4,4-3-1-2,True,Contig 4-Contig 3-Contig 1-Contig 2
58,1-2-4-3,1-2-3-4,True,Contig 1-Contig 2-Contig 3-Contig 4
66,1-2-3-4,1-3-2-4,True,Contig 1-Contig 3-Contig 2-Contig 4
69,3-4-1-2,4-3-2-1,True,Contig 4-Contig 3-Contig 2-Contig 1
72,2-1-4-3,2-1-3-4,True,Contig 2-Contig 1-Contig 3-Contig 4
80,2-3-4-1,2-4-3-1,True,Contig 2-Contig 4-Contig 3-Contig 1
93,1-2-4-3,1-3-2-4,True,Contig 1-Contig 3-Contig 2-Contig 4
110,4-3-2-1,4-3-1-2,True,Contig 4-Contig 3-Contig 1-Contig 2
116,1-3-4-2,3-1-4-2,True,Contig 3-Contig 1-Contig 4-Contig 2
117,4-1-3-2,3-4-1-2,True,Contig 3-Contig 4-Contig 1-Contig 2
122,2-4-3-1,1-4-2-3,True,Contig 1-Contig 4-Contig 2-Contig 3
125,3-2-1-4,2-1-3-4,True,Contig 2-Contig 1-Contig 3-Contig 4
132,4-1-3-2,3-4-1-2,True,Contig 3-Contig 4-Contig 1-Contig 2
134,2-1-3-4,2-4-3-1,True,Contig 2-Contig 4-Contig 3-Contig 1
137,4-2-3-1,4-2-1-3,True,Contig 4-Contig 2-Contig 1-Contig 3
138,3-4-1-2,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
147,2-1-3-4,3-2-1-4,True,Contig 3-Contig 2-Contig 1-Contig 4
157,2-4-3-1,2-3-4-1,True,Contig 2-Contig 3-Contig 4-Contig 1
159,1-3-2-4,2-1-3-4,True,Contig 2-Contig 1-Contig 3-Contig 4
165,4-2-1-3,1-2-3-4,True,Contig 1-Contig 2-Contig 3-Contig 4
167,2-4-1-3,2-4-3-1,True,Contig 2-Contig 4-Contig 3-Contig 1
183,1-4-2-3,1-4-3-2,True,Contig 1-Contig 4-Contig 3-Contig 2
190,2-1-3-4,3-2-1-4,True,Contig 3-Contig 2-Contig 1-Contig 4
194,2-1-4-3,4-3-1-2,True,Contig 4-Contig 3-Contig 1-Contig 2
196,1-4-2-3,4-1-2-3,True,Contig 4-Contig 1-Contig 2-Contig 3
204,1-3-4-2,1-4-3-2,True,Contig 1-Contig 4-Contig 3-Contig 2
205,1-3-2-4,3-1-2-4,True,Contig 3-Contig 1-Contig 2-Contig 4
210,2-3-4-1,2-1-4-3,True,Contig 2-Contig 1-Contig 4-Contig 3
213,1-3-2-4,2-1-4-3,True,Contig 2-Contig 1-Contig 4-Contig 3
215,2-1-4-3,2-4-1-3,True,Contig 2-Contig 4-Contig 1-Contig 3
216,2-3-4-1,3-1-2-4,True,Contig 3-Contig 1-Contig 2-Contig 4
217,4-1-2-3,4-3-2-1,True,Contig 4-Contig 3-Contig 2-Contig 1
238,3-4-1-2,3-2-4-1,True,Contig 3-Contig 2-Contig 4-Contig 1
241,3-4-1-2,1-3-4-2,True,Contig 1-Contig 3-Contig 4-Contig 2
244,2-3-4-1,3-2-4-1,True,Contig 3-Contig 2-Contig 4-Contig 1
245,2-1-3-4,3-4-1-2,True,Contig 3-Contig 4-Contig 1-Contig 2
246,2-1-4-3,1-2-4-3,True,Contig 1-Contig 2-Contig 4-Contig 3
248,3-2-4-1,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
251,2-3-1-4,3-1-2-4,True,Contig 3-Contig 1-Contig 2-Contig 4
254,3-4-2-1,1-2-3-4,True,Contig 1-Contig 2-Contig 3-Contig 4
287,4-3-2-1,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
290,3-1-2-4,3-1-4-2,True,Contig 3-Contig 1-Contig 4-Contig 2
293,3-4-1-2,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
294,1-4-3-2,1-3-4-2,True,Contig 1-Contig 3-Contig 4-Contig 2
295,2-4-3-1,2-3-4-1,True,Contig 2-Contig 3-Contig 4-Contig 1
302,4-1-2-3,1-4-2-3,True,Contig 1-Contig 4-Contig 2-Contig 3
303,4-1-2-3,4-2-3-1,True,Contig 4-Contig 2-Contig 3-Contig 1
308,4-1-3-2,4-2-1-3,True,Contig 4-Contig 2-Contig 1-Contig 3
318,2-1-3-4,2-3-1-4,True,Contig 2-Contig 3-Contig 1-Contig 4
320,1-2-3-4,1-3-4-2,True,Contig 1-Contig 3-Contig 4-Contig 2
322,1-3-2-4,3-1-4-2,True,Contig 3-Contig 1-Contig 4-Contig 2
325,1-2-3-4,4-3-1-2,True,Contig 4-Contig 3-Contig 1-Contig 2
339,3-1-4-2,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
341,2-3-1-4,2-1-3-4,True,Contig 2-Contig 1-Contig 3-Contig 4
345,2-1-3-4,2-3-1-4,True,Contig 2-Contig 3-Contig 1-Contig 4
363,3-1-4-2,3-4-1-2,True,Contig 3-Contig 4-Contig 1-Contig 2
366,1-3-4-2,1-3-2-4,True,Contig 1-Contig 3-Contig 2-Contig 4
369,2-4-3-1,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
393,3-4-1-2,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
400,4-2-3-1,1-2-3-4,True,Contig 1-Contig 2-Contig 3-Contig 4
414,2-3-1-4,2-4-3-1,True,Contig 2-Contig 4-Contig 3-Contig 1
419,4-1-3-2,1-2-3-4,True,Contig 1-Contig 2-Contig 3-Contig 4
428,4-3-2-1,1-2-3-4,True,Contig 1-Contig 2-Contig 3-Contig 4
432,2-4-3-1,2-1-4-3,True,Contig 2-Contig 1-Contig 4-Contig 3
433,4-2-1-3,2-1-4-3,True,Contig 2-Contig 1-Contig 4-Contig 3
436,1-4-2-3,3-1-2-4,True,Contig 3-Contig 1-Contig 2-Contig 4
437,1-3-4-2,3-1-4-2,True,Contig 3-Contig 1-Contig 4-Contig 2
441,2-4-3-1,2-4-1-3,True,Contig 2-Contig 4-Contig 1-Contig 3
450,3-1-2-4,3-2-4-1,True,Contig 3-Contig 2-Contig 4-Contig 1
455,4-3-2-1,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
456,1-3-4-2,4-2-3-1,True,Contig 4-Contig 2-Contig 3-Contig 1
457,4-3-1-2,4-1-3-2,True,Contig 4-Contig 1-Contig 3-Contig 2
462,3-2-1-4,1-3-2-4,True,Contig 1-Contig 3-Contig 2-Contig 4
464,1-4-3-2,1-2-4-3,True,Contig 1-Contig 2-Contig 4-Contig 3
465,1-4-3-2,2-4-3-1,True,Contig 2-Contig 4-Contig 3-Contig 1
475,3-4-1-2,3-4-2-1,True,Contig 3-Contig 4-Contig 2-Contig 1
477,2-4-3-1,2-3-4-1,True,Contig 2-Contig 3-Contig 4-Contig 1
486,3-2-1-4,3-2-4-1,True,Contig 3-Contig 2-Contig 4-Contig 1
