record_index,reference_order,prediction_order,resolved,prediction_text
29,3-2-1,3-1-2,True,Contig 3-Contig 1-Contig 2
81,2-3-1,3-2-1,True,Contig 3-Contig 2-Contig 1
93,1-3-2,1-2-3,True,Contig 1-Contig 2-Contig 3
99,1-2-3,3-2-1,True,Contig 3-Contig 2-Contig 1
117,2-1-3,1-2-3,True,Contig 1-Contig 2-Contig 3
121,1-3-2,3-1-2,True,Contig 3-Contig 1-Contig 2
155,3-2-1,3-1-2,True,Contig 3-Contig 1-Contig 2
194,3-1-2,3-2-1,True,Contig 3-Contig 2-Contig 1
196,1-3-2,3-1-2,True,Contig 3-Contig 1-Contig 2
202,2-1-3,1-2-3,True,Contig 1-Contig 2-Contig 3
217,2-1-3,1-2-3,True,Contig 1-Contig 2-Contig 3
244,3-1-2,3-2-1,True,Contig 3-Contig 2-Contig 1
256,1-2-3,1-3-2,True,Contig 1-Contig 3-Contig 2
290,2-3-1,2-1-3,True,Contig 2-Contig 1-Contig 3
293,2-3-1,3-2-1,True,Contig 3-Contig 2-Contig 1
294,2-1-3,3-1-2,True,Contig 3-Contig 1-Contig 2
307,1-3-2,1-2-3,True,Contig 1-Contig 2-Contig 3
341,3-1-2,3-2-1,True,Contig 3-Contig 2-Contig 1
366,3-2-1,3-1-2,True,Contig 3-Contig 1-Contig 2
409,1-2-3,1-3-2,True,Contig 1-Contig 3-Contig 2
418,1-3-2,3-1-2,True,Contig 3-Contig 1-Contig 2
456,1-3-2,3-1-2,True,Contig 3-Contig 1-Contig 2
475,3-1-2,3-2-1,True,Contig 3-Contig 2-Contig 1
486,2-1-3,2-3-1,True,Contig 2-Contig 3-Contig 1
